Track Name,Artist,Genres
Turn On The Lights again.. (feat. Future),Fred again..,"edm, house, stutter house"
Heaven Takes You Home (feat. Connie Constance) - Alternative Mix,Swedish House Mafia,"edm, pop dance, progressive electro house"
DEVOTION,Mild Minds,australian dance
Tidalwave,Moksi,"bass house, brostep, dutch edm, electro house, electronic trap"
DESTINATIONS,Mild Minds,australian dance
White Christmas,The Drifters,"adult standards, classic soul, doo-wop, rock-and-roll, rockabilly, soul"
Psycho Killer - Live,Talking Heads,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo"
Brown Eyed Girl,Van Morrison,"classic rock, folk, folk rock, mellow gold, rock, singer-songwriter, soft rock"
The Perfect Girl,Mareux,dark synthpop
this feeling,Øneheart,hardwave
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,rap
Dancin - Krono Remix,Aaron Smith,chicago house
Bongo Bong,Manu Chao,"latin alternative, world"
1979,Mareux,dark synthpop
Killer Whale,Boyscott,"chill dream pop, indie garage rock"
Nevermore,Denis Stelmakh,Unknown
7 Weeks & 3 Days,yungatita,weirdcore
Chamber of Reflection (Live Cover),Your Anxiety Buddy,corecore
ザ・ワード II,セキトオ・シゲオ,classic japanese jazz
Will I See You Again?,Thee Sacred Souls,"latinx alternative, souldies"
COULD BE WRONG,LOSTBOYJAY,rally house
Surrender To Me,FireCityFunk,Unknown
We Come Running,Youngblood Hawke,"la indie, shimmer pop"
Margaritaville,Jimmy Buffett,trop rock
Jailhouse Rock,Elvis Presley,"rock-and-roll, rockabilly"
september sped up,griddyy,Unknown
the BLACK seminole.,Lil Yachty,"atl hip hop, melodic rap, rap, trap"
White Sails,Sterling Grove,Unknown
Ain't No Sunshine,Bill Withers,"classic soul, funk, quiet storm, soul"
Aquamarine (feat. Michael Kiwanuka),Danger Mouse,"alternative hip hop, mashup"
Busy Earnin',Jungle,"indie soul, uk contemporary r&b"
I Was Never There,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
Guilty Conscience - Tame Impala Remix,070 Shake,new jersey rap
Lamb's Wool,Foster The People,"indietronica, modern alternative rock, modern rock, rock"
The Ballad of Eddie Jabuley,Hotel Ugly,modern indie pop
Sure Thing,Miguel,"r&b, urban contemporary"
It's Called: Freefall,Rainbow Kitten Surprise,pov: indie
Zombie,The Cranberries,"irish rock, pop rock, rock"
Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],Metro Boomin,rap
First Flight To Mars,Ark Woods,Unknown
Candela,Buena Vista Social Club,"latin jazz, musica tradicional cubana, world"
Hometown (intro),French 79,"french indie pop, french indietronica"
Hometown,French 79,"french indie pop, french indietronica"
Lovin' Feeling,French 79,"french indie pop, french indietronica"
Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,"hip hop, melodic rap, philly rap, rage rap, rap, trap"
Evergreen,Richy Mitch & The Coal Miners,modern folk rock
Rips in Jeans,Niko B,Unknown
Can't Sleep,VENICE,Unknown
Song For No One,Miike Snow,"alternative dance, electropop, indietronica, neo-synthpop, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop"
Stop This Flame,Celeste,british soul
I Will Survive - Single Version,Gloria Gaynor,"disco, soft rock"
September - Instrumental,Sparky Deathcap,Unknown
Bag End,Howard Shore,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack"
"Don't Think Twice, It's All Right","Peter, Paul and Mary","american folk revival, folk, folk rock, mellow gold, singer-songwriter, soft rock"
"Genius (feat. Sia, Diplo, and Labrinth)",Sia,pop
EARFQUAKE,"Tyler, The Creator","hip hop, rap"
Die Trying,Key Glock,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
Atomic Vomit,Steve Lacy,afrofuturism
Cissy Strut,The Meters,"funk, instrumental soul, jazz funk, new orleans funk, p funk, soul"
Food for the Soul,it's murph,stutter house
Dreaming - Gibson Parker Remix,Rootkit,"chillstep, complextro, electro house, gaming edm, melodic dubstep"
Soledad y el Mar (feat. Los Macorinos),Natalia Lafourcade,"cantautora mexicana, latin alternative, latin pop, mexican pop, rock en espanol, veracruz indie"
A Bird's Last Look,Macabre Plaza,"hypnagogic pop, utopian virtual"
Time (You and I),Khruangbin,"indie soul, neo-psychedelic, world"
Tell Me,Sharon Jones & The Dap-Kings,"black americana, funk, retro soul, soul"
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,colombian pop
PRIDE.,Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap"
Ella Baila Sola,Eslabon Armado,"corrido, corridos tumbados, sad sierreno, sierreno"
Cash In Cash Out,Pharrell Williams,"dance pop, pop"
Panama,Sports,tulsa indie
Reborn,KIDS SEE GHOSTS,rap
Where You Are,John Summit,house
Belize (feat. MF DOOM),Danger Mouse,"alternative hip hop, mashup"
Cola - Club Mix,CamelPhat,"deep tech house, house, progressive house, uk dance"
Trance (with Travis Scott & Young Thug),Metro Boomin,rap
Séquences - Parcels Remix,L'Impératrice,"french indie pop, french indietronica, french synthpop"
Cola x Nanana,marcusas,Unknown
Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM,"east coast hip hop, hip hop, instrumental hip hop, rap"
I Know The End,Phoebe Bridgers,"indie pop, la indie, pov: indie"
Cradles,Sub Urban,modern indie pop
A Rose Blooms in Chaos,Davishmar,Unknown
Kuzola,Pongo,african electronic
"Yo x Ti, Tu x Mi",ROSALÍA,"pop, r&b en espanol"
The Look,Metronomy,"alternative dance, electronica, french indie pop, indietronica, neo-synthpop, new rave, socal pop punk"
I KNOW ?,Travis Scott,"rap, slap house"
Dreaming,Smallpools,"hopebeat, indie poptimism, la indie, la pop, metropopolis, modern alternative rock, modern rock"
